Currency,Date,Open,High,Low,Close
="JPY",="27/11/2019",="109.08",="109.43",="109.02",="109.43",
="JPY",="26/11/2019",="108.96",="109.21",="108.88",="109.08",
="JPY",="25/11/2019",="108.7",="108.97",="108.64",="108.96",
="JPY",="22/11/2019",="108.61",="108.73",="108.48",="108.66",
="JPY",="21/11/2019",="108.54",="108.7",="108.28",="108.61",
="JPY",="20/11/2019",="108.5",="108.74",="108.35",="108.54",
="JPY",="19/11/2019",="108.59",="108.84",="108.45",="108.5",
="JPY",="18/11/2019",="108.8",="109.07",="108.51",="108.59",
="JPY",="15/11/2019",="108.34",="108.86",="108.24",="108.8",
="JPY",="14/11/2019",="108.85",="108.86",="108.26",="108.34",
="JPY",="13/11/2019",="109.09",="109.15",="108.66",="108.85",
="JPY",="11/11/2019",="109.02",="109.29",="108.98",="109.09",
="JPY",="08/11/2019",="109.47",="109.49",="109.08",="109.26",
="JPY",="07/11/2019",="108.9",="109.49",="108.65",="109.47",
="JPY",="06/11/2019",="109.13",="109.24",="108.82",="108.9",
="JPY",="05/11/2019",="108.59",="109.22",="108.56",="109.13",
="JPY",="04/11/2019",="108.21",="108.62",="108.18",="108.59",
="JPY",="01/11/2019",="107.98",="108.32",="107.89",="108.19",
="JPY",="31/10/2019",="108.88",="109.29",="107.93",="107.98",
="JPY",="30/10/2019",="108.92",="108.97",="108.79",="108.88",
="JPY",="29/10/2019",="108.94",="109.07",="108.75",="108.92",
="JPY",="25/10/2019",="108.67",="109.04",="108.66",="108.94",
="JPY",="24/10/2019",="108.69",="108.75",="108.5",="108.58",
="JPY",="23/10/2019",="108.58",="108.7",="108.25",="108.69",
="JPY",="22/10/2019",="108.58",="108.73",="108.45",="108.58",
="JPY",="18/10/2019",="108.48",="108.66",="108.29",="108.58",
="JPY",="17/10/2019",="108.67",="108.94",="108.46",="108.52",
="JPY",="16/10/2019",="108.86",="108.9",="108.57",="108.67",
="JPY",="15/10/2019",="108.37",="108.89",="108.16",="108.86",
="JPY",="14/10/2019",="108.28",="108.52",="108.03",="108.37",
="JPY",="11/10/2019",="107.9",="108.63",="107.76",="108.29",
="JPY",="10/10/2019",="107.58",="107.97",="107.04",="107.9",
="JPY",="09/10/2019",="107.15",="107.58",="106.93",="107.58",
="JPY",="07/10/2019",="107.13",="107.46",="106.81",="107.15",
="JPY",="04/10/2019",="106.82",="107.13",="106.61",="106.94",
="JPY",="03/10/2019",="107.11",="107.3",="106.48",="106.82",
="JPY",="01/10/2019",="107.69",="107.89",="107.11",="107.11",
="JPY",="30/09/2019",="107.98",="108.15",="107.74",="108.15",
